title,address,price,bedrooms,bathrooms,area,area_lot
,"1541 Club View Dr, Los Angeles, CA 90024","$3,849,000",3 bed,3 bath,"3,354 sqft","8,100 sqft lot"
,"3125 Winter St, Los Angeles, CA 90063","$700,000",5 bed,2 bath,"2,756 sqft","5,200 sqft lot"
,"9324 Holmes Ave, Los Angeles, CA 90002","$880,000",4 bed,3 bath,"3,604 sqft","7,153 sqft lot"
,"4128 Whitsett Ave Apt 102, Studio City, CA 91604","$679,000",2 bed,2 bath,"1,040 sqft",0.41 acre lot
,"1214 S Gramercy Pl, Los Angeles, CA 90019","$1,575,000",4 bed,2 bath,"2,743 sqft",0.29 acre lot
,"1400 N Vista St Unit 2, Los Angeles, CA 90046","$749,000",2 bed,2.5 bath,"1,301 sqft","6,720 sqft lot"
,"1139 N Cole Ave, Los Angeles, CA 90038","$998,108",4 bed,2 bath,"1,608 sqft","3,450 sqft lot"
,"735 W 33rd St, San Pedro, CA 90731","$1,199,000",4 bed,4 bath,"3,755 sqft","5,001 sqft lot"
,"4938 O Sullivan Dr, Los Angeles, CA 90032","$688,000",3 bed,2 bath,"1,082 sqft","4,800 sqft lot"
,"5718 Sunlight Pl, Los Angeles, CA 90016","$1,175,000",5 bed,3 bath,"2,794 sqft","7,183 sqft lot"
,"5685 Baltimore St, Los Angeles, CA 90042","$1,079,000",3 bed,2 bath,"1,748 sqft","5,663 sqft lot"
,"1632 Stonewood Ct, San Pedro, CA 90732","$599,000",3 bed,2.5 bath,"1,595 sqft",3.83 acre lot
,"3835 Broadlawn Dr, Los Angeles, CA 90068","$1,529,000",4 bed,2 bath,"2,200 sqft","6,949 sqft lot"
,"5332 Fulton Ave, Sherman Oaks, CA 91401","$2,198,000",5 bed,5 bath,"3,189 sqft","9,344 sqft lot"
,"9702 Wilmington Ave, Los Angeles, CA 90002","$500,000",3 bed,2 bath,"1,200 sqft","4,493 sqft lot"
,"11808 Dorothy St Apt 107, Los Angeles, CA 90049","$995,000",1 bed,1.5 bath,"1,531 sqft",0.54 acre lot
,"200 N San Fernando Rd Apt 209, Los Angeles, CA 90031","$515,000",Studio,1 bath,"1,020 sqft",1.45 acre lot
,"8740 Willis Ave Unit 12, Panorama City, CA 91402","$400,000",2 bed,3 bath,"1,249 sqft",0.59 acre lot
,"5325 Newcastle Ave Unit 328, Encino, CA 91316","$259,000",Studio,1 bath,475 sqft,2.37 acre lot
,"8261 N Sophie Ct, Northridge, CA 91325","$679,000",4 bed,2.5 bath,"1,835 sqft","2,653 sqft lot"
,"15322 Weddington St Apt 5, Sherman Oaks, CA 91411","$529,900",2 bed,2.5 bath,"1,134 sqft",0.24 acre lot
,"849 S Broadway Apt 412, Los Angeles, CA 90014","$1,075,000",2 bed,2 bath,"1,770 sqft",0.52 acre lot
,"3370 Canton Ln, Studio City, CA 91604","$1,785,000",2 bed,3 bath,"1,810 sqft",0.25 acre lot
,"12021 Guerin St Ph 4, Studio City, CA 91604","$979,000",3 bed,2.5 bath,"1,608 sqft",0.54 acre lot
,"10147 Topeka Dr, Northridge, CA 91324","$1,269,000",4 bed,4 bath,"3,097 sqft",0.46 acre lot
,"6051 Longridge Ave, Valley Glen, CA 91401","$925,000",3 bed,2.5 bath,"1,859 sqft","5,898 sqft lot"
,"4637 W 18th St, Los Angeles, CA 90019","$1,650,000",4 bed,4 bath,"5,042 sqft","6,625 sqft lot"
,"4010 Baywood St, Los Angeles, CA 90039","$1,299,000",8 bed,4 bath,"3,064 sqft","7,000 sqft lot"
,"4047 Camero Ave, Los Angeles, CA 90027","$1,199,000",3 bed,2 bath,"1,638 sqft","5,397 sqft lot"
,"3207 McManus Ave, Los Angeles, CA 90034","$1,299,000",2 bed,1 bath,"1,065 sqft","5,358 sqft lot"
,"201 Waterview St, Playa Del Rey, CA 90293","$2,699,000",3 bed,2.5 bath,"2,775 sqft","3,376 sqft lot"
