1 bedroom flat for sale,/property-for-sale/property-84105040.html,"Wendon Street, Bow, London, E3","£400,000","This beautifully presented 1 bedroom pub conversion is on the ground floor, boasting stylish contemporary interiors throughout, offering high ceilings, neutral décor and sleek fixtures and fittings.","Reduced on 23/09/2020 by Foxtons, Stratford"
10 bedroom semi-detached house for sale,/property-for-sale/property-82344178.html,"Hyde Park Place, Hyde Park, London, W2","£45,000,000","10 bedroom house for sale in Hyde Park W2 For sale a beautifully restored Grade II listed 10 bedroom family house in Hyde Park W2 offering fantastic views across the park and located within close proximity to Marble Arch and the amenities of Connaught Village.
EPC: D. Built towards the end ...","Added on 18/07/2020 by Knight Frank, Hyde Park"
7 bedroom semi-detached house for sale,/property-for-sale/property-78656785.html,"Walton Street, Knightsbridge, London, SW3","£44,000,000","A 7 bedroom converted church for sale in KnightsbridgeSt Saviours is a unique Grade II listed historical building that has been converted into an extraordinary modern seven bedroom home. The property benefits from a vaulted ceiling, original stone pillars, beautiful views and parking for three ...","Added on 03/04/2020 by Knight Frank, Belgravia, covering Westminster"
10 bedroom detached house for sale,/property-for-sale/property-74956453.html,"Merton Lane, London, N6",POA,"Located on a sought-after road in the heart of Highgate and occupying a two-acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stunning home has a glass...","Added on 22/10/2019 by Sotheby's International Realty, London"
6 bedroom house for sale,/property-for-sale/property-89685296.html,"South Street, Mayfair W1K","£40,000,000","Considered to be the archetypical London mansion, this exceptional Mayfair mansion sits in the heart of central London. In excess of 8,300 sq ft, the sensitive modernisation of the six-bedroom townhouse included the creation of a wellness suite on the lower ground floor, complete with swimming pool.","Added on 14/02/2020 by Rokstone, London"
10 bedroom detached house for sale,/property-for-sale/property-79055890.html,"Merton Lane, London, N6","£40,000,000","Exceptional Contemporary Mansion in Highgate Located on a sought after road and occupying a 2 acre site, a bespoke family home with the accommodation predominantly arranged over three floors with the benefit of a substantial, self-contained staff lodge. The luxurious entrance hall of this stun...","Added on 23/10/2019 by Knight Frank, Hampstead"
7 bedroom terraced house for sale,/property-for-sale/property-96434144.html,"Ilchester Place, Holland Park, London, W14",POA,A newly refurbished house on one of Holland Park's premier roads.,"Added on 23/08/2020 by Savills, Kensington"
7 bedroom terraced house for sale,/property-for-sale/property-81517927.html,"Ilchester Place, Holland Park, London, W14.","£35,000,000","An exquisite seven bedroom family house on one of Kensington’s most coveted addresses. An exquisite seven bedroom family house on one of Kensington's most coveted addresses, which has been completely rebuilt and extended behind its original façade. Set within the Holland Park Conservation Area ...","Added on 30/06/2020 by Knight Frank, Kensington"
60 bedroom house for sale,/property-for-sale/property-94228598.html,"Lexham Gardens, Kensington","£33,000,000","A superb investment opportunity to acquire 60 room freehold hotel ideally situated in the heart of prestigious Kensington, widely recognised as one of London's finest addresses.","Added on 14/11/2019 by The Cloister, London"
8 bedroom detached house for sale,/property-for-sale/property-84888277.html,"St Johns Wood Park, St Johns Wood, London, NW8","£32,000,000","A substantial stucco detached villa in NW8. An imposing double fronted detached period residence (588 sq m/6,332 sq ft) discreetly situated behind a secure carriage drive accommodating up to 10 vehicles. The property provides extensive family accommodation benefiting from exceptional entertai...","Added on 17/09/2020 by Knight Frank, St John's Wood"
8 bedroom detached house for sale,/property-for-sale/property-84680905.html,"St Johns Wood Park, London, NW8","£32,000,000","Arranged over five ample floors, this period home nestled in the exclusive residential area of St John’s Wood boasts spacious and stylish living. Comprising of principal bedroom suite with sitting room, twin dressing rooms, bathroom with steam shower and infrared sauna, seven further bedrooms...","Added on 11/09/2020 by Beauchamp Estates Ltd, Mayfair - Resale"
8 bedroom detached house for sale,/property-for-sale/property-84664240.html,"St. Johns Wood Park, St John's Wood, London, NW8","£32,000,000","An imposing double fronted detached period residence (588 sq m/6,332 sq ft) discreetly situated behind a secure carriage drive accommodating up to 10 vehicles. The property provides extensive family accommodation benefiting from exceptional entertaining areas, an indulgent principal be...","Added on 11/09/2020 by Aston Chase, London"
3 bedroom apartment for sale,/property-for-sale/property-94223729.html,"One Hyde Park, Knightsbridge","£30,000,000",This truly exceptional apartment located in the most sought after location is now available. The grand property boasts magnificent views of both Knightsbridge and Hyde Park. One Hyde Park is offering luxury London living at it's absolute finest.,"Added on 18/09/2019 by The Cloister, London"
6 bedroom house for sale,/property-for-sale/property-94228469.html,"Queen Anne's Gate, St James's Park",POA,"Arranged over three floors and offering in excess of 11480 square feet of immaculately presented and voluminous living space, this elegantly appointed six bedroom, seven bathroom family residence, with 24 hour porterage, is accessed via a private entrance and notably has sole use of and direct","Added on 16/10/2019 by The Cloister, London"
10 bedroom detached house for sale,/property-for-sale/property-70700242.html,"Upper Phillimore Gardens, London, W8","£29,950,000","Located on one of London's finest residential addresses, this detached ten bedroom house with lift and garage, has been extensively remodelled and re-designed to the most exacting standards and utilising some of the most luxurious finishes available. Set back from the street, behind its own lands...","Added on 25/03/2019 by John D Wood & Co. Sales, Kensington"
10 bedroom detached house for sale,/property-for-sale/property-92781332.html,"Upper Phillimore Gardens, Kensington, London, W8","£29,950,000","A classic white stucco fronted 10 bedroom house in prime Kensington. Located on one of London's finest residential addresses, this ten bedroom house has been extensively remodelled and re-designed to the most exacting standards and utilising some of the most luxurious finishes available. Appro...","Added on 13/04/2016 by Knight Frank, Kensington"
8 bedroom detached house for sale,/property-for-sale/property-94278710.html,"Upper Phillimore Gardens, Kensington, London, W8","£29,950,000","Detached 8 bedroom detached family house with lift, garden, terrace and separate garage This fabulous detached family house offers exceptional proportions throughout. Situated on one of London's finest residential addresses within the Phillimore Estate, this eight-bedroom house has been designed...","Reduced on 06/07/2020 by Knight Frank, Kensington"
6 bedroom terraced house for sale,/property-for-sale/property-97132076.html,"Culross Street, Mayfair, London, W1K","£29,000,000","A beautiful newly constructed Mayfair mansion of 8,060 sq ft, situated in an enviable location just off Park Lane.","Added on 10/09/2020 by Savills, Mayfair"
6 bedroom terraced house for sale,/property-for-sale/property-97153931.html,"Culross Street, Mayfair, London, W1K","£29,000,000","An outstanding 6 bedroom freehold house with swimming pool and cinema room A newly constructed Mayfair Mansion, designed by K10 Group, of 8,060 sq ft, situated in an enviable location just off Park Lane. Finished to a high specification, with luxurious and bespoke interiors, the house offers end...","Added on 11/09/2020 by Knight Frank, Mayfair"
